Full Product Name,Brand,Name,Speed,Control,Stiffness,Overall,Price,Ratings
Butterfly Hadraw Shield,Butterfly,Hadraw Shield,6.2,8.7,5,9,$135.00,1
Butterfly Hadraw SK,Butterfly,Hadraw SK,7.4,7.9,5,8,$108.00,5
Butterfly Hadraw SR,Butterfly,Hadraw SR,7.9,7.2,6,8.8,$110.00,2
Butterfly Hadraw VK,Butterfly,Hadraw VK,8.4,8.8,4.6,9.3,$100.00,5
Butterfly Hadraw VR,Butterfly,Hadraw VR,9.2,8.2,9,8.4,$121.00,4
Butterfly Harimoto Tomokazu Innerforce ALC,Butterfly,Harimoto Tomokazu Innerforce ALC,7.8,9,4.2,8.6,$251.00,5
Butterfly Haruvatart JP Round,Butterfly,Haruvatart JP Round,10,8,7,9.8,$185.00,2
Butterfly Haruvatart ZL Carbon,Butterfly,Haruvatart ZL Carbon,9.8,7.9,7,9.5,$120.00,3
Butterfly Hinoki Shake 5,Butterfly,Hinoki Shake 5,5.7,9.7,4,9.4,$85.00,3
Butterfly Hinoki Shake Speedy,Butterfly,Hinoki Shake Speedy,9.3,8.5,7,,$100.00,1
Butterfly Hinoki Shake Swift,Butterfly,Hinoki Shake Swift,8,9,3,,$80.00,1
Butterfly Holycrown,Butterfly,Holycrown,9.1,8.4,6,9.6,$135.00,4
Butterfly HP Winner,Butterfly,HP Winner,8,7.8,5,,$60.00,1
Butterfly Innerforce AL,Butterfly,Innerforce AL,8.2,8.6,4.5,9,$150.00,20
Butterfly Innerforce ALC,Butterfly,Innerforce ALC,8.8,9.1,5.4,9.4,$135.00,33
Butterfly Innerforce Layer AL,Butterfly,Innerforce Layer AL,8.3,8.8,3,9.3,$115.00,3
Butterfly Innerforce Layer ALC,Butterfly,Innerforce Layer ALC,9.1,9.5,4.3,9.6,$170.00,32
Butterfly Innerforce Layer ALC.S,Butterfly,Innerforce Layer ALC.S,8.5,9.3,4.1,9.1,$150.00,10
Butterfly Innerforce Layer ZLC,Butterfly,Innerforce Layer ZLC,9.1,9.2,5.3,9.4,$215.00,10
Butterfly Innerforce Layer ZLF,Butterfly,Innerforce Layer ZLF,8.2,9.7,3.3,9.4,$189.00,9
Butterfly Innerforce T5000,Butterfly,Innerforce T5000,9.3,8.2,6.9,8.8,$150.00,26
Butterfly Innerforce ULC,Butterfly,Innerforce ULC,9,8.9,5.8,9.2,$125.00,11
Butterfly Innerforce ZLC,Butterfly,Innerforce ZLC,9.2,8.9,4.8,9.4,$275.00,60
Butterfly Innerforce ZLF,Butterfly,Innerforce ZLF,8.9,9,3.8,9.3,$170.00,27
Butterfly Innershield Layer ZLF,Butterfly,Innershield Layer ZLF,6.8,9.5,3,9.1,$189.00,2
Butterfly Innershield ZLF,Butterfly,Innershield ZLF,6.7,9.4,2.5,8.5,$184.00,7
Butterfly Iolite,Butterfly,Iolite,9,8.3,6.7,9,$103.00,8
